item_type,base_material,lining,fitting_type,nb_1,nb_2,angle,price_usd
fitting,CS,PTFE,bend,25,25,90,285
fitting,CS,PTFE,bend,40,40,90,323
fitting,CS,PTFE,bend,50,50,90,362.5
fitting,CS,PTFE,bend,80,80,90,518.5
fitting,CS,PTFE,bend,100,100,90,693
fitting,CS,PTFE,bend,150,150,90,1467
fitting,CS,PTFE,bend,200,200,90,3167.5
fitting,CS,PTFE,bend,250,250,90,4676.5
fitting,CS,PTFE,bend,300,300,90,7509.5
fitting,CS,PTFE,bend,25,25,45,282.5
fitting,CS,PTFE,bend,40,40,45,318.5
fitting,CS,PTFE,bend,50,50,45,356.5
fitting,CS,PTFE,bend,80,80,45,506
fitting,CS,PTFE,bend,100,100,45,677
fitting,CS,PTFE,bend,150,150,45,1396.5
fitting,CS,PTFE,bend,200,200,45,2838
fitting,CS,PTFE,bend,250,250,45,4290.5
fitting,CS,PTFE,bend,300,300,45,6904.5
fitting,CS,PTFE,concentric_reducer,40,25,,338
fitting,CS,PTFE,concentric_reducer,50,40,,382.5
fitting,CS,PTFE,concentric_reducer,80,50,,494
fitting,CS,PTFE,concentric_reducer,100,80,,678
fitting,CS,PTFE,concentric_reducer,150,100,,1256
fitting,CS,PTFE,concentric_reducer,200,150,,2609
fitting,CS,PTFE,concentric_reducer,250,200,,4235.5
fitting,CS,PTFE,concentric_reducer,300,250,,6654.5
fitting,CS,PTFE,fvsg,25,25,,306
fitting,CS,PTFE,fvsg,40,40,,350.5
fitting,CS,PTFE,fvsg,50,50,,395
fitting,CS,PTFE,fvsg,80,80,,544
fitting,CS,PTFE,fvsg,100,100,,659.5
fitting,CS,PTFE,fvsg,150,150,,1251.5
fitting,CS,PTFE,blind,25,25,,227.5
fitting,CS,PTFE,blind,40,40,,241
fitting,CS,PTFE,blind,50,50,,263.5
fitting,CS,PTFE,blind,80,80,,311.5
fitting,CS,PTFE,blind,100,100,,355.5
fitting,CS,PTFE,blind,150,150,,470
fitting,CS,PTFE,blind,200,200,,645.5
fitting,CS,PTFE,blind,250,250,,857
fitting,CS,PTFE,blind,300,300,,1133
fitting,CS,PTFE,hp_bellow,25,70,,373
fitting,CS,PTFE,hp_bellow,25,100,,385
fitting,CS,PTFE,hp_bellow,25,150,,404.5
fitting,CS,PTFE,hp_bellow,40,70,,446
fitting,CS,PTFE,hp_bellow,40,100,,466.5
fitting,CS,PTFE,hp_bellow,40,150,,501
fitting,CS,PTFE,hp_bellow,50,70,,541.5
fitting,CS,PTFE,hp_bellow,50,100,,576.5
fitting,CS,PTFE,hp_bellow,50,150,,635
fitting,CS,PTFE,hp_bellow,80,100,,691
fitting,CS,PTFE,hp_bellow,80,150,,777.5
fitting,CS,PTFE,hp_bellow,80,200,,865
fitting,CS,PTFE,hp_bellow,100,100,,858
fitting,CS,PTFE,hp_bellow,100,150,,995.5
fitting,CS,PTFE,hp_bellow,100,200,,1133
fitting,CS,PTFE,hp_bellow,150,100,,1226
fitting,CS,PTFE,hp_bellow,150,150,,1458.5
fitting,CS,PTFE,hp_bellow,150,200,,1691
fitting,CS,PTFE,hp_bellow,200,100,,1853.5
fitting,CS,PTFE,hp_bellow,200,150,,2294
fitting,CS,PTFE,hp_bellow,200,200,,2734
fitting,CS,PTFE,hp_bellow,250,100,,2611.5
fitting,CS,PTFE,hp_bellow,250,150,,3111
fitting,CS,PTFE,hp_bellow,250,200,,3624.5
fitting,CS,PTFE,hp_bellow,300,100,,3561.5
fitting,CS,PTFE,hp_bellow,300,150,,4242.5
fitting,CS,PTFE,hp_bellow,300,200,,4987.5
fitting,CS,PFA,concentric_reducer,40,25,,482
fitting,CS,PFA,concentric_reducer,50,25,,559
fitting,CS,PFA,concentric_reducer,50,40,,609
fitting,CS,PFA,concentric_reducer,80,25,,761.5
fitting,CS,PFA,concentric_reducer,80,40,,801
fitting,CS,PFA,concentric_reducer,80,50,,935.5
fitting,CS,PFA,concentric_reducer,100,25,,925.5
fitting,CS,PFA,concentric_reducer,100,40,,1003
fitting,CS,PFA,concentric_reducer,100,50,,1107.5
fitting,CS,PFA,concentric_reducer,100,80,,1255.5
fitting,CS,PFA,concentric_reducer,150,25,,1574.5
fitting,CS,PFA,concentric_reducer,150,40,,1660
fitting,CS,PFA,concentric_reducer,150,50,,1671.5
fitting,CS,PFA,concentric_reducer,150,80,,1891.5
fitting,CS,PFA,concentric_reducer,150,100,,2208.5
fitting,CS,PFA,reducing_flange,40,25,,316
fitting,CS,PFA,reducing_flange,50,25,,346.5
fitting,CS,PFA,reducing_flange,50,40,,357.5
fitting,CS,PFA,reducing_flange,80,25,,434.5
