item_type,base_material,lining,condition,nb,length_mm,price_usd
pipe,CS,PTFE,non_vacuum,25,100,141.25
pipe,CS,PTFE,non_vacuum,25,150,148.125
pipe,CS,PTFE,non_vacuum,25,200,155
pipe,CS,PTFE,non_vacuum,25,250,161.25
pipe,CS,PTFE,non_vacuum,25,300,168.125
pipe,CS,PTFE,non_vacuum,25,350,174.375
pipe,CS,PTFE,non_vacuum,25,400,181.25
pipe,CS,PTFE,non_vacuum,25,450,188.125
pipe,CS,PTFE,non_vacuum,25,500,194.375
pipe,CS,PTFE,non_vacuum,25,600,207.5
pipe,CS,PTFE,non_vacuum,25,700,221.25
pipe,CS,PTFE,non_vacuum,25,800,234.375
pipe,CS,PTFE,non_vacuum,25,900,247.5
pipe,CS,PTFE,non_vacuum,25,1000,260.625
pipe,CS,PTFE,non_vacuum,25,1100,274.375
pipe,CS,PTFE,non_vacuum,25,1200,287.5
pipe,CS,PTFE,non_vacuum,25,1300,300.625
pipe,CS,PTFE,non_vacuum,25,1400,313.75
pipe,CS,PTFE,non_vacuum,25,1500,327.5
pipe,CS,PTFE,non_vacuum,25,1600,340.625
pipe,CS,PTFE,non_vacuum,25,1700,353.75
pipe,CS,PTFE,non_vacuum,25,1800,366.875
pipe,CS,PTFE,non_vacuum,25,1900,380.625
pipe,CS,PTFE,non_vacuum,25,2000,393.75
pipe,CS,PTFE,non_vacuum,25,2100,406.875
pipe,CS,PTFE,non_vacuum,25,2200,420
pipe,CS,PTFE,non_vacuum,25,2300,433.75
pipe,CS,PTFE,non_vacuum,25,2400,446.875
pipe,CS,PTFE,non_vacuum,25,2500,460
pipe,CS,PTFE,non_vacuum,25,2600,473.125
pipe,CS,PTFE,non_vacuum,25,2700,486.875
pipe,CS,PTFE,non_vacuum,25,2800,500
pipe,CS,PTFE,non_vacuum,25,2900,513.125
pipe,CS,PTFE,non_vacuum,25,3000,526.25
pipe,CS,PTFE,non_vacuum,40,100,183.75
pipe,CS,PTFE,non_vacuum,40,150,194.375
pipe,CS,PTFE,non_vacuum,40,200,205
pipe,CS,PTFE,non_vacuum,40,250,215.625
pipe,CS,PTFE,non_vacuum,40,300,226.25
pipe,CS,PTFE,non_vacuum,40,350,236.875
pipe,CS,PTFE,non_vacuum,40,400,247.5
pipe,CS,PTFE,non_vacuum,40,450,258.125
pipe,CS,PTFE,non_vacuum,40,500,268.75
pipe,CS,PTFE,non_vacuum,40,600,290
pipe,CS,PTFE,non_vacuum,40,700,311.25
pipe,CS,PTFE,non_vacuum,40,800,332.5
pipe,CS,PTFE,non_vacuum,40,900,353.75
pipe,CS,PTFE,non_vacuum,40,1000,375
pipe,CS,PTFE,non_vacuum,40,1100,396.25
pipe,CS,PTFE,non_vacuum,40,1200,417.5
pipe,CS,PTFE,non_vacuum,40,1300,438.75
pipe,CS,PTFE,non_vacuum,40,1400,460.625
pipe,CS,PTFE,non_vacuum,40,1500,481.875
pipe,CS,PTFE,non_vacuum,40,1600,502.5
pipe,CS,PTFE,non_vacuum,40,1700,524.375
pipe,CS,PTFE,non_vacuum,40,1800,545.625
pipe,CS,PTFE,non_vacuum,40,1900,566.875
pipe,CS,PTFE,non_vacuum,40,2000,588.125
pipe,CS,PTFE,non_vacuum,40,2100,609.375
pipe,CS,PTFE,non_vacuum,40,2200,630.625
pipe,CS,PTFE,non_vacuum,40,2300,651.875
pipe,CS,PTFE,non_vacuum,40,2400,673.125
pipe,CS,PTFE,non_vacuum,40,2500,694.375
pipe,CS,PTFE,non_vacuum,40,2600,715.625
pipe,CS,PTFE,non_vacuum,40,2700,736.875
pipe,CS,PTFE,non_vacuum,40,2800,758.125
pipe,CS,PTFE,non_vacuum,40,2900,779.375
pipe,CS,PTFE,non_vacuum,40,3000,800.625
pipe,CS,PTFE,non_vacuum,50,100,228.75
pipe,CS,PTFE,non_vacuum,50,150,241.875
pipe,CS,PTFE,non_vacuum,50,200,255.625
pipe,CS,PTFE,non_vacuum,50,250,268.75
pipe,CS,PTFE,non_vacuum,50,300,282.5
pipe,CS,PTFE,non_vacuum,50,350,295.625
pipe,CS,PTFE,non_vacuum,50,400,309.375
pipe,CS,PTFE,non_vacuum,50,450,323.125
pipe,CS,PTFE,non_vacuum,50,500,336.25
pipe,CS,PTFE,non_vacuum,50,600,363.125
pipe,CS,PTFE,non_vacuum,50,700,390
pipe,CS,PTFE,non_vacuum,50,800,416.875
pipe,CS,PTFE,non_vacuum,50,900,443.75
pipe,CS,PTFE,non_vacuum,50,1000,470.625
pipe,CS,PTFE,non_vacuum,50,1100,498.125
pipe,CS,PTFE,non_vacuum,50,1200,525
pipe,CS,PTFE,non_vacuum,50,1300,551.875
pipe,CS,PTFE,non_vacuum,50,1400,578.75
