2026-03-16 16:04:25,513 | INFO | Trained model=hose_pipe_SS304_PTFE_non_vacuum_NB25.joblib | item_type=hose_pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=25 | rows=9 | r2=0.9931
2026-03-16 16:04:25,522 | INFO | Trained model=hose_pipe_SS304_PTFE_non_vacuum_NB40.joblib | item_type=hose_pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=40 | rows=9 | r2=0.9867
2026-03-16 16:04:25,532 | INFO | Trained model=hose_pipe_SS304_PTFE_non_vacuum_NB50.joblib | item_type=hose_pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=50 | rows=9 | r2=0.9882
2026-03-16 16:04:25,542 | INFO | Trained model=hose_pipe_SS304_PTFE_non_vacuum_NB80.joblib | item_type=hose_pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=80 | rows=9 | r2=0.9958
2026-03-16 16:04:25,549 | INFO | Trained model=hose_pipe_SS304_PTFE_non_vacuum_NB100.joblib | item_type=hose_pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=100 | rows=9 | r2=0.9994
2026-03-16 16:04:25,556 | INFO | Trained model=hose_pipe_SS316_PTFE_non_vacuum_NB25.joblib | item_type=hose_pipe, material=SS316, material=SS316, lining=PTFE, condition=non_vacuum, nb=25 | rows=9 | r2=0.9882
2026-03-16 16:04:25,564 | INFO | Trained model=hose_pipe_SS316_PTFE_non_vacuum_NB40.joblib | item_type=hose_pipe, material=SS316, material=SS316, lining=PTFE, condition=non_vacuum, nb=40 | rows=9 | r2=0.9769
2026-03-16 16:04:25,571 | INFO | Trained model=hose_pipe_SS316_PTFE_non_vacuum_NB50.joblib | item_type=hose_pipe, material=SS316, material=SS316, lining=PTFE, condition=non_vacuum, nb=50 | rows=9 | r2=0.9797
2026-03-16 16:04:25,578 | INFO | Trained model=hose_pipe_SS316_PTFE_non_vacuum_NB80.joblib | item_type=hose_pipe, material=SS316, material=SS316, lining=PTFE, condition=non_vacuum, nb=80 | rows=9 | r2=0.9925
2026-03-16 16:04:25,585 | INFO | Trained model=hose_pipe_SS316_PTFE_non_vacuum_NB100.joblib | item_type=hose_pipe, material=SS316, material=SS316, lining=PTFE, condition=non_vacuum, nb=100 | rows=9 | r2=0.999
2026-03-16 16:04:25,593 | INFO | Trained model=pipe_CS_PTFE_full_vacuum_NB100.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=full_vacuum, nb=100 | rows=34 | r2=1.0
2026-03-16 16:04:25,600 | INFO | Trained model=pipe_CS_PTFE_full_vacuum_NB150.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=full_vacuum, nb=150 | rows=34 | r2=1.0
2026-03-16 16:04:25,607 | INFO | Trained model=pipe_CS_PTFE_full_vacuum_NB200.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=full_vacuum, nb=200 | rows=34 | r2=1.0
2026-03-16 16:04:25,615 | INFO | Trained model=pipe_CS_PTFE_full_vacuum_NB250.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=full_vacuum, nb=250 | rows=34 | r2=1.0
2026-03-16 16:04:25,625 | INFO | Trained model=pipe_CS_PTFE_full_vacuum_NB300.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=full_vacuum, nb=300 | rows=34 | r2=1.0
2026-03-16 16:04:25,633 | INFO | Trained model=pipe_CS_PTFE_non_vacuum_NB25.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=non_vacuum, nb=25 | rows=34 | r2=1.0
2026-03-16 16:04:25,640 | INFO | Trained model=pipe_CS_PTFE_non_vacuum_NB40.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=non_vacuum, nb=40 | rows=34 | r2=1.0
2026-03-16 16:04:25,647 | INFO | Trained model=pipe_CS_PTFE_non_vacuum_NB50.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=non_vacuum, nb=50 | rows=34 | r2=1.0
2026-03-16 16:04:25,654 | INFO | Trained model=pipe_CS_PTFE_non_vacuum_NB80.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=non_vacuum, nb=80 | rows=34 | r2=1.0
2026-03-16 16:04:25,661 | INFO | Trained model=pipe_CS_PTFE_non_vacuum_NB100.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=non_vacuum, nb=100 | rows=34 | r2=1.0
2026-03-16 16:04:25,668 | INFO | Trained model=pipe_CS_PTFE_non_vacuum_NB150.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=non_vacuum, nb=150 | rows=34 | r2=1.0
2026-03-16 16:04:25,676 | INFO | Trained model=pipe_CS_PTFE_non_vacuum_NB200.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=non_vacuum, nb=200 | rows=34 | r2=1.0
2026-03-16 16:04:25,684 | INFO | Trained model=pipe_CS_PTFE_non_vacuum_NB250.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=non_vacuum, nb=250 | rows=34 | r2=1.0
2026-03-16 16:04:25,692 | INFO | Trained model=pipe_CS_PTFE_non_vacuum_NB300.joblib | item_type=pipe, material=CS, material=CS, lining=PTFE, condition=non_vacuum, nb=300 | rows=34 | r2=1.0
2026-03-16 16:04:25,699 | INFO | Trained model=pipe_SS304_PTFE_full_vacuum_NB100.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=full_vacuum, nb=100 | rows=34 | r2=1.0
2026-03-16 16:04:25,705 | INFO | Trained model=pipe_SS304_PTFE_full_vacuum_NB150.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=full_vacuum, nb=150 | rows=34 | r2=1.0
2026-03-16 16:04:25,713 | INFO | Trained model=pipe_SS304_PTFE_full_vacuum_NB200.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=full_vacuum, nb=200 | rows=34 | r2=1.0
2026-03-16 16:04:25,720 | INFO | Trained model=pipe_SS304_PTFE_full_vacuum_NB250.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=full_vacuum, nb=250 | rows=34 | r2=1.0
